threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 10; it = 100; time = 60.622653; true time = 60.622653; total count = 1599600000; true count = 1599600000; count 1 = 6300000, count 2 = 1587000000, count 3 = 6300000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 11; it = 110; time = 67.939257; true time = 61.762961; total count = 1759560000; true count = 1599600000; count 1 = 7700000, count 2 = 1744160000, count 3 = 7700000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 12; it = 108; time = 64.656573; true time = 59.867197; total count = 1727568000; true count = 1599600000; count 1 = 8316000, count 2 = 1710936000, count 3 = 8316000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 13; it = 104; time = 61.998385; true time = 59.613832; total count = 1663584000; true count = 1599600000; count 1 = 8736000, count 2 = 1646112000, count 3 = 8736000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 14; it = 112; time = 68.127626; true time = 60.828238; total count = 1791552000; true count = 1599600000; count 1 = 10192000, count 2 = 1771168000, count 3 = 10192000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 15; it = 105; time = 65.256078; true time = 62.148646; total count = 1679580000; true count = 1599600000; count 1 = 10290000, count 2 = 1659000000, count 3 = 10290000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 16; it = 112; time = 70.113427; true time = 62.601274; total count = 1791552000; true count = 1599600000; count 1 = 11760000, count 2 = 1768032000, count 3 = 11760000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 17; it = 102; time = 63.893273; true time = 62.640464; total count = 1631592000; true count = 1599600000; count 1 = 11424000, count 2 = 1608744000, count 3 = 11424000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 18; it = 108; time = 67.632957; true time = 62.623108; total count = 1727568000; true count = 1599600000; count 1 = 12852000, count 2 = 1701864000, count 3 = 12852000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 19; it = 114; time = 71.324296; true time = 62.565172; total count = 1823544000; true count = 1599600000; count 1 = 14364000, count 2 = 1794816000, count 3 = 14364000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 20; it = 100; time = 62.549030; true time = 62.549030; total count = 1599600000; true count = 1599600000; count 1 = 13300000, count 2 = 1573000000, count 3 = 13300000

threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 1; it = 100; time = 63.182682; true time = 63.182682; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 2; it = 100; time = 62.688730; true time = 62.688730; total count = 1599600000; true count = 1599600000; count 1 = 700000, count 2 = 1598200000, count 3 = 700000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 3; it = 102; time = 63.947735; true time = 62.693858; total count = 1631592000; true count = 1599600000; count 1 = 1428000, count 2 = 1628736000, count 3 = 1428000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 4; it = 100; time = 62.937734; true time = 62.937734; total count = 1599600000; true count = 1599600000; count 1 = 2100000, count 2 = 1595400000, count 3 = 2100000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 5; it = 100; time = 62.574852; true time = 62.574852; total count = 1599600000; true count = 1599600000; count 1 = 2800000, count 2 = 1594000000, count 3 = 2800000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 6; it = 102; time = 64.093010; true time = 62.836284; total count = 1631592000; true count = 1599600000; count 1 = 3570000, count 2 = 1624452000, count 3 = 3570000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 7; it = 105; time = 65.420761; true time = 62.305487; total count = 1679580000; true count = 1599600000; count 1 = 4410000, count 2 = 1670760000, count 3 = 4410000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 8; it = 104; time = 64.265343; true time = 61.793599; total count = 1663584000; true count = 1599600000; count 1 = 5096000, count 2 = 1653392000, count 3 = 5096000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 9; it = 108; time = 67.235428; true time = 62.255026; total count = 1727568000; true count = 1599600000; count 1 = 6048000, count 2 = 1715472000, count 3 = 6048000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 10; it = 100; time = 62.386785; true time = 62.386785; total count = 1599600000; true count = 1599600000; count 1 = 6300000, count 2 = 1587000000, count 3 = 6300000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 11; it = 110; time = 68.497611; true time = 62.270556; total count = 1759560000; true count = 1599600000; count 1 = 7700000, count 2 = 1744160000, count 3 = 7700000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 12; it = 108; time = 66.929044; true time = 61.971337; total count = 1727568000; true count = 1599600000; count 1 = 8316000, count 2 = 1710936000, count 3 = 8316000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 13; it = 104; time = 64.782846; true time = 62.291198; total count = 1663584000; true count = 1599600000; count 1 = 8736000, count 2 = 1646112000, count 3 = 8736000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 14; it = 112; time = 69.606126; true time = 62.148326; total count = 1791552000; true count = 1599600000; count 1 = 10192000, count 2 = 1771168000, count 3 = 10192000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 15; it = 105; time = 65.956767; true time = 62.815968; total count = 1679580000; true count = 1599600000; count 1 = 10290000, count 2 = 1659000000, count 3 = 10290000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 16; it = 112; time = 69.974324; true time = 62.477075; total count = 1791552000; true count = 1599600000; count 1 = 11760000, count 2 = 1768032000, count 3 = 11760000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 17; it = 102; time = 63.960273; true time = 62.706150; total count = 1631592000; true count = 1599600000; count 1 = 11424000, count 2 = 1608744000, count 3 = 11424000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 18; it = 108; time = 68.174112; true time = 63.124177; total count = 1727568000; true count = 1599600000; count 1 = 12852000, count 2 = 1701864000, count 3 = 12852000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 19; it = 114; time = 74.307905; true time = 65.182373; total count = 1823544000; true count = 1599600000; count 1 = 14364000, count 2 = 1794816000, count 3 = 14364000
threads = 4; Nx = 8000, Ny = 8000, Nt = 100, r = 20; it = 100; time = 63.009428; true time = 63.009428; total count = 1599600000; true count = 1599600000; count 1 = 13300000, count 2 = 1573000000, count 3 = 13300000

=======================================

threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 1; it = 100; time = 32.237661; true time = 32.237661; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 2; it = 100; time = 32.472144; true time = 32.472144; total count = 1599600000; true count = 1599600000; count 1 = 1500000, count 2 = 1596600000, count 3 = 1500000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 3; it = 102; time = 32.555000; true time = 31.916666; total count = 1631592000; true count = 1599600000; count 1 = 3060000, count 2 = 1625472000, count 3 = 3060000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 4; it = 100; time = 32.242884; true time = 32.242884; total count = 1599600000; true count = 1599600000; count 1 = 4500000, count 2 = 1590600000, count 3 = 4500000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 5; it = 100; time = 32.291897; true time = 32.291897; total count = 1599600000; true count = 1599600000; count 1 = 6000000, count 2 = 1587600000, count 3 = 6000000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 6; it = 102; time = 33.490687; true time = 32.834007; total count = 1631592000; true count = 1599600000; count 1 = 7650000, count 2 = 1616292000, count 3 = 7650000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 7; it = 105; time = 34.026192; true time = 32.405897; total count = 1679580000; true count = 1599600000; count 1 = 9450000, count 2 = 1660680000, count 3 = 9450000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 8; it = 104; time = 33.852608; true time = 32.550584; total count = 1663584000; true count = 1599600000; count 1 = 10920000, count 2 = 1641744000, count 3 = 10920000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 9; it = 108; time = 35.328881; true time = 32.711927; total count = 1727568000; true count = 1599600000; count 1 = 12960000, count 2 = 1701648000, count 3 = 12960000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 10; it = 100; time = 32.415800; true time = 32.415800; total count = 1599600000; true count = 1599600000; count 1 = 13500000, count 2 = 1572600000, count 3 = 13500000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 11; it = 110; time = 35.706091; true time = 32.460083; total count = 1759560000; true count = 1599600000; count 1 = 16500000, count 2 = 1726560000, count 3 = 16500000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 12; it = 108; time = 34.919959; true time = 32.333295; total count = 1727568000; true count = 1599600000; count 1 = 17820000, count 2 = 1691928000, count 3 = 17820000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 13; it = 104; time = 33.614836; true time = 32.321958; total count = 1663584000; true count = 1599600000; count 1 = 18720000, count 2 = 1626144000, count 3 = 18720000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 14; it = 112; time = 36.279623; true time = 32.392520; total count = 1791552000; true count = 1599600000; count 1 = 21840000, count 2 = 1747872000, count 3 = 21840000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 15; it = 105; time = 33.942695; true time = 32.326377; total count = 1679580000; true count = 1599600000; count 1 = 22050000, count 2 = 1635480000, count 3 = 22050000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 16; it = 112; time = 36.084386; true time = 32.218201; total count = 1791552000; true count = 1599600000; count 1 = 25200000, count 2 = 1741152000, count 3 = 25200000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 17; it = 102; time = 32.796756; true time = 32.153683; total count = 1631592000; true count = 1599600000; count 1 = 24480000, count 2 = 1582632000, count 3 = 24480000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 18; it = 108; time = 34.739744; true time = 32.166430; total count = 1727568000; true count = 1599600000; count 1 = 27540000, count 2 = 1672488000, count 3 = 27540000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 19; it = 114; time = 36.571266; true time = 32.080058; total count = 1823544000; true count = 1599600000; count 1 = 30780000, count 2 = 1761984000, count 3 = 30780000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 20; it = 100; time = 32.198261; true time = 32.198261; total count = 1599600000; true count = 1599600000; count 1 = 28500000, count 2 = 1542600000, count 3 = 28500000

threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 1; it = 100; time = 33.016996; true time = 33.016996; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 2; it = 100; time = 32.691207; true time = 32.691207; total count = 1599600000; true count = 1599600000; count 1 = 1500000, count 2 = 1596600000, count 3 = 1500000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 3; it = 102; time = 33.094832; true time = 32.445914; total count = 1631592000; true count = 1599600000; count 1 = 3060000, count 2 = 1625472000, count 3 = 3060000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 4; it = 100; time = 32.454290; true time = 32.454290; total count = 1599600000; true count = 1599600000; count 1 = 4500000, count 2 = 1590600000, count 3 = 4500000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 5; it = 100; time = 33.281168; true time = 33.281168; total count = 1599600000; true count = 1599600000; count 1 = 6000000, count 2 = 1587600000, count 3 = 6000000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 6; it = 102; time = 35.093594; true time = 34.405484; total count = 1631592000; true count = 1599600000; count 1 = 7650000, count 2 = 1616292000, count 3 = 7650000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 7; it = 105; time = 35.272780; true time = 33.593124; total count = 1679580000; true count = 1599600000; count 1 = 9450000, count 2 = 1660680000, count 3 = 9450000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 8; it = 104; time = 36.361980; true time = 34.963442; total count = 1663584000; true count = 1599600000; count 1 = 10920000, count 2 = 1641744000, count 3 = 10920000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 9; it = 108; time = 36.125558; true time = 33.449591; total count = 1727568000; true count = 1599600000; count 1 = 12960000, count 2 = 1701648000, count 3 = 12960000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 10; it = 100; time = 33.536114; true time = 33.536114; total count = 1599600000; true count = 1599600000; count 1 = 13500000, count 2 = 1572600000, count 3 = 13500000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 11; it = 110; time = 36.581940; true time = 33.256309; total count = 1759560000; true count = 1599600000; count 1 = 16500000, count 2 = 1726560000, count 3 = 16500000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 12; it = 108; time = 37.483099; true time = 34.706573; total count = 1727568000; true count = 1599600000; count 1 = 17820000, count 2 = 1691928000, count 3 = 17820000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 13; it = 104; time = 34.508534; true time = 33.181283; total count = 1663584000; true count = 1599600000; count 1 = 18720000, count 2 = 1626144000, count 3 = 18720000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 14; it = 112; time = 40.217514; true time = 35.908495; total count = 1791552000; true count = 1599600000; count 1 = 21840000, count 2 = 1747872000, count 3 = 21840000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 15; it = 105; time = 34.717296; true time = 33.064092; total count = 1679580000; true count = 1599600000; count 1 = 22050000, count 2 = 1635480000, count 3 = 22050000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 16; it = 112; time = 37.388967; true time = 33.383007; total count = 1791552000; true count = 1599600000; count 1 = 25200000, count 2 = 1741152000, count 3 = 25200000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 17; it = 102; time = 33.930920; true time = 33.265608; total count = 1631592000; true count = 1599600000; count 1 = 24480000, count 2 = 1582632000, count 3 = 24480000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 18; it = 108; time = 35.236418; true time = 32.626313; total count = 1727568000; true count = 1599600000; count 1 = 27540000, count 2 = 1672488000, count 3 = 27540000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 19; it = 114; time = 36.985163; true time = 32.443126; total count = 1823544000; true count = 1599600000; count 1 = 30780000, count 2 = 1761984000, count 3 = 30780000
threads = 8; Nx = 8000, Ny = 8000, Nt = 100, r = 20; it = 100; time = 32.486711; true time = 32.486711; total count = 1599600000; true count = 1599600000; count 1 = 28500000, count 2 = 1542600000, count 3 = 28500000

=======================================
